step,loss
0,0.66110945
100,0.10615645
200,0.062382404
300,0.045406476
400,0.030821383
500,0.041130655
600,0.028877208
700,0.028592575
800,0.030056132
900,0.029492285
1000,0.022853687
1100,0.025063746
1200,0.019353127
1300,0.020522093
1400,0.024195872
1500,0.019766688
1600,0.024442505
1700,0.018505251
1800,0.02050807
1900,0.01402563
2000,0.015006868
2100,0.01363544
2200,0.009994613
2300,0.0153911095
2400,0.021098446
2500,0.01306531
2600,0.01080847
2700,0.012405029
2800,0.010888396
2900,0.011504736
3000,0.013452043
3100,0.012907734
3200,0.009971096
3300,0.010322691
3400,0.008693453
3500,0.00811613
3600,0.008248437
3700,0.008524334
3800,0.008445771
3900,0.00885775
4000,0.0085852435
4100,0.009423671
4200,0.0070004812
4300,0.0071276687
4400,0.00793968
4500,0.006829696
4600,0.0060706357
4700,0.0060518933
4800,0.005995186
4900,0.0071922867
5000,0.006180635
5100,0.006264202
5200,0.005895765
5300,0.007014489
5400,0.005694456
5500,0.0056689843
5600,0.005564853
5700,0.005439155
5800,0.005544389
5900,0.0052163796
6000,0.005432563
6100,0.0051366687
6200,0.005682817
6300,0.0053520557
6400,0.0047933185
6500,0.0055798804
6600,0.007959429
6700,0.005163308
6800,0.005280751
6900,0.004943528
7000,0.0056507774
7100,0.0043685487
7200,0.004744212
7300,0.0057437117
7400,0.004524601
7500,0.004527334
7600,0.004589945
7700,0.004530011
7800,0.0041192886
7900,0.0044289827
8000,0.0043058284
8100,0.0042866357
8200,0.0042894366
8300,0.004310603
8400,0.004157566
8500,0.00377178
8600,0.0037986154
8700,0.003806493
8800,0.0043380638
8900,0.0041464507
9000,0.0038743513
9100,0.0040349024
9200,0.0046764864
9300,0.005520956
9400,0.0054693767
9500,0.0042307926
9600,0.004637121
9700,0.0043434957
9800,0.0038825646
9900,0.0038377198
10000,0.0034751275
10100,0.0040456257
10200,0.0036107025
10300,0.0036453316
10400,0.003270685
10500,0.0031237532
10600,0.0035475926
10700,0.0033227098
10800,0.003536988
10900,0.0030240198
11000,0.0034893595
11100,0.003391932
11200,0.0034414132
11300,0.0032518567
11400,0.003124988
11500,0.0031419501
11600,0.0033865683
11700,0.003317841
11800,0.0035989322
11900,0.0034885139
12000,0.0034248082
12100,0.007002307
12200,0.0045221914
12300,0.004165429
12400,0.0045274105
12500,0.0037515743
12600,0.0040785787
12700,0.0031491348
12800,0.003580613
12900,0.0033542078
13000,0.0030700548
13100,0.0030536382
13200,0.0029678228
13300,0.0032977331
13400,0.003380707
13500,0.0031297079
13600,0.0030248382
13700,0.002822817
13800,0.0032219475
13900,0.0027259463
14000,0.0027595512
14100,0.002690335
14200,0.002986811
14300,0.002842782
14400,0.0028208497
14500,0.0027273006
14600,0.0031513777
14700,0.0031838086
14800,0.0027975454
14900,0.0029915269
15000,0.002748954
15100,0.0029989334
15200,0.0027773536
15300,0.0029510397
15400,0.0028818694
15500,0.003023053
15600,0.003832383
15700,0.00604459
15800,0.005838878
15900,0.005224368
16000,0.003519152
16100,0.0035508138
16200,0.0035944358
16300,0.0028245247
16400,0.0026717526
16500,0.0026416578
16600,0.0028310649
16700,0.00287031
16800,0.0026586698
16900,0.00259534
17000,0.0025463325
17100,0.0029214812
17200,0.0026819804
17300,0.0028694493
17400,0.0025668729
17500,0.002682339
17600,0.0026696806
17700,0.0026790064
17800,0.0028857265
17900,0.002571385
18000,0.0024437576
18100,0.0023798367
18200,0.0024415476
18300,0.0023340988
18400,0.0029736557
18500,0.002372683
18600,0.0025069087
18700,0.0024432952
18800,0.0026459075
18900,0.0027150596
19000,0.0027133697
19100,0.0026671903
19200,0.0025275273
19300,0.0029972633
19400,0.004062288
19500,0.0028189032
19600,0.0027041223
19700,0.0028129397
19800,0.002753558
19900,0.0023251201
20000,0.0028358325
20100,0.0027937274
20200,0.0023587658
20300,0.002376701
20400,0.0026210896
20500,0.0024659147
20600,0.002669044
20700,0.0025217023
20800,0.0027799653
20900,0.0026133328
21000,0.0028430684
21100,0.0029324796
21200,0.0025096398
21300,0.00245099
21400,0.0023531888
